Datetime,GHI_ALL_SKY,GHI_CLEAR_SKY,DHI,DNI,POA_Wm2,Albedo,T2M_C,WS10M_ms,PV_P_dc_kW,PV_P_ac_kW,Grid_Available,Grid_Cap_kW,Load_kW
2022-09-01 00:00:00,0.0,0.0,0.0,0.0,0.0,-499.43829166666666,25.093841812273432,1.5365794582785448,0.0,0.0,1,465.5,155.45651190574532
2022-09-01 01:00:00,0.0,0.0,0.0,0.0,0.0,-499.43829166666666,25.1886613569525,0.9705330120253083,0.0,0.0,1,465.5,128.33427630952093
2022-09-01 02:00:00,0.0,0.0,0.0,0.0,0.0,-499.43829166666666,24.939052606676693,1.346311665626355,0.0,0.0,1,465.5,98.79765917965987
2022-09-01 03:00:00,0.0,0.0,0.0,0.0,0.0,-499.43829166666666,25.622931429833343,1.184249528874435,0.0,0.0,1,465.5,115.54447753676666
2022-09-01 04:00:00,0.0,0.0,0.0,0.0,0.0,-499.43829166666666,25.579052433199784,2.257517984782451,0.0,0.0,1,465.5,150.07634878861577
2022-09-01 05:00:00,0.0,0.0,0.0,0.0,0.0,-499.43829166666666,25.06159855481654,1.8338322801891807,0.0,0.0,1,465.5,186.9616836286832
2022-09-01 06:00:00,17.167708897407973,6.735876512431458,5.376113446050376,594.175703419336,-35.61847345231253,-499.43829166666666,25.31139744533276,1.164426102427134,9.074310140347633,8.802080836137202,1,465.5,215.57582548633025
2022-09-01 07:00:00,156.16855038326253,93.30309172752956,122.75119856400846,121.56608506806177,-446.328378845726,-499.43829166666666,25.222168801939976,1.8150742563127567,46.10269700638182,44.71961609619036,1,465.5,212.65726507228655
2022-09-01 08:00:00,34.5034465224184,173.81702380538883,34.34371322749737,0.3119173809752303,-99.04880776658672,-499.43829166666666,25.503563089741867,0.7251268174980432,10.22576124694718,9.918988409538764,1,465.5,207.40507678410597
2022-09-01 09:00:00,406.69889243096213,242.7907813304672,319.43267329117685,121.99735148114989,-1166.923140235551,-499.43829166666666,25.707468496976862,1.94851108779342,114.73546474782087,111.29340080538626,1,465.5,190.57287492014868
2022-09-01 10:00:00,15.63692287924762,295.5239167119539,15.617626636366865,0.022162388196729423,-44.89024362325116,-499.43829166666666,25.609695644617243,1.163587459242741,4.636658344850997,4.497558594505467,1,465.5,183.36079419187118
2022-09-01 11:00:00,614.3750380495723,328.4227539192277,424.1644426944239,196.5793529634015,-1764.012711996641,-499.43829166666666,25.342225469771346,0.7638096363956927,168.17457234985596,163.12933517936028,1,465.5,216.98558337289938
2022-09-01 12:00:00,235.62912376538748,339.2452915645116,231.81225779235274,3.818822883373177,-676.4493617480795,-499.43829166666666,25.613897749218964,1.2271793488986535,67.9263927055747,65.88860092440744,1,465.5,212.3750654633211
2022-09-01 13:00:00,586.5326004428706,327.2539915923687,428.32686644170025,164.08682147049564,-1684.0233340460936,-499.43829166666666,24.894863654883647,1.351532730987057,161.31102952432883,156.47169863859898,1,465.5,263.12602309214685
2022-09-01 14:00:00,311.60245372875727,293.2660412793403,300.13536748135834,13.271736086821516,-894.5271998383648,-499.43829166666666,25.60407759159232,1.6113950994805304,88.90269092252069,86.23561019484507,1,465.5,333.43425734753214
2022-09-01 15:00:00,340.8293933576685,239.597663271516,300.82245903432386,56.67468694586652,-978.1455006257152,-499.43829166666666,26.041593249908768,1.8239345958155935,96.94467907052376,94.03633869840806,1,465.5,293.2814035465765
2022-09-01 16:00:00,98.82966252898463,169.90626883894046,97.48897359594659,2.678274315125973,-283.6903994898125,-499.43829166666666,25.72964593682606,1.5409937376783058,29.00936191908085,28.139081061508428,1,465.5,284.6032241410532
2022-09-01 17:00:00,297.3797366789695,88.94121134171931,49.06765655202998,947.6135078821762,-837.8243207406747,-499.43829166666666,25.161267149074593,1.157013477534048,89.48225877049613,86.79779100738125,1,465.5,231.87676668484798
2022-09-01 18:00:00,0.38769418638243175,2.220125647204173,0.386115252930792,0.2413919076383996,-1.1073524730657147,-499.43829166666666,25.093682233922145,1.4624311711730666,0.11710157859276966,0.11358853123498654,1,465.5,227.40464671001243
2022-09-01 19:00:00,0.0,0.0,0.0,0.0,0.0,-499.43829166666666,25.332326872491706,2.219339202079402,0.0,0.0,1,465.5,204.22844889504856
